date,states,positive,pending,totalTestResults,totalTestResultsIncrease,positiveIncrease,DailyPosRate,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,inIcuCumulative,recovered,death,dailyDeaths,avgDeaths_7day
20201209,56,15145172,13186,209388693,1806928,213354,0.118,106671,599219,5424,20903,32720,5891885,280488,3088,2280.86
20201208,56,14931818,9806,207581765,1647591,214753,0.130,104590,593795,4309,20483,32406,5788509,277400,2655,2230.14
20201207,56,14717065,13484,205934174,1787170,180193,0.101,102148,589486,3614,20098,32120,5714557,274745,1347,2204.14
20201206,56,14536872,13592,204147004,1665874,177801,0.107,101501,585872,2311,20145,31946,5624609,273398,1146,2174.00
20201205,56,14359071,13433,202481130,2221549,212880,0.096,101192,583561,3457,19947,31831,5576152,272252,2461,2125.00
20201204,56,14146191,12714,200259581,1855146,224831,0.121,101276,580104,4652,19858,31608,5470389,269791,2563,1951.29
20201203,56,13921360,15106,198404435,1828230,210204,0.115,100755,575452,5331,19723,31276,5404018,267228,2706,1781.14
20201202,56,13711156,14368,196576205,1458940,195796,0.134,100322,570121,5028,19680,31038,5322128,264522,2733,1585.43
20201201,56,13515360,8764,195117265,1405318,176753,0.126,98777,565093,5222,19295,30749,5226581,261789,2473,1522.00
20201130,56,13338607,14883,193711947,1614325,147587,0.091,96149,559871,3394,18801,30469,5146643,259316,1136,1463.86
20201129,56,13191020,14860,192097622,1293282,135242,0.105,93357,556477,2429,18437,30274,5065148,258180,803,1438.00
20201128,56,13055778,14780,190804340,1726508,154522,0.089,91762,554048,3404,18249,30109,5024447,257377,1245,1451.57
20201127,56,12901256,14854,189077832,2145822,193725,0.090,89950,550644,3499,18061,29858,4947446,256132,1372,1489.71
20201126,56,12707531,14856,186932010,1192185,126335,0.106,90564,547145,2247,18019,29673,4871312,254760,1336,1562.86
20201125,56,12581196,14060,185739825,1738892,183629,0.106,90041,544898,4568,17740,29540,4835956,253424,2289,1653.00
20201124,56,12397567,9962,184000933,1809001,167014,0.092,88174,540330,4591,17314,29245,4696996,251135,2066,1592.29
20201123,56,12230553,17617,182191932,1768019,150958,0.085,85979,535739,2985,17080,28990,4633600,249069,955,1519.29
